Week,Control,StimBlue+,StimBlue+ + NaCl,NaCl
1,3.09830793,3.544895817,4.108978753,3.64839551
1,4.306363449,3.782246429,3.804676402,3.852919418
1,4.197887618,3.485435182,3.995250178,3.756843498
1,3.618784271,3.387153405,3.521386568,3.229249955
2,3.607101667,4.356943667,4.147638394,4.252506409
2,4.671002333,4.420659,4.594093176,4.106873204
2,4.442001667,4.29386,4.744141781,3.735614796
2,5.118059667,3.722788,4.653671499,4.648520929
3,2.674891667,2.445145,3.451641,2.848189
3,1.554666667,2.455500667,2.209278667,2.452810333
3,1.484016,1.882696667,1.994476333,1.843445
3,1.772181667,1.419731,2.150073667,1.934085
4,2.716177,2.796302,3.741031022,3.983205513
4,3.3280215,3.416404333,4.198585903,4.257003818
4,3.207186667,3.9835805,5.224097651,3.915568344
4,4.119629,3.168578,4.806588451,4.062251003
5,2.755951,3.123317333,3.783339622,4.127451217
5,4.409038,3.879247667,4.093462701,4.304263784
5,3.535260333,,5.017998614,
5,4.539063667,5.930654667,5.382001261,5.312374613
6,2.740979,2.803997,3.653752297,3.310403593
6,3.955763,3.645869333,3.681705534,4.11790918
6,3.871887,4.546352333,3.297018351,4.557976993
6,4.173585333,3.681355333,4.591508874,3.991794563
7,5.944014667,5.63349,5.090944928,5.666660343
7,5.736488667,5.863858,5.902986649,5.807553925
7,5.950261333,5.909223667,5.688758138,5.472874302
7,6.207809333,5.251111333,6.328023688,5.904198107
8,3.887372,4.176000333,3.779190354,3.902922487
8,4.996138667,5.129203333,4.117938993,4.752008233
8,5.657341333,5.667613333,4.384071905,5.263740143
8,6.235386,4.192669667,4.570833496,5.581908878
9,2.433157333,3.477432667,2.919757,3.345629667
9,2.228519333,3.939904667,2.760530667,3.352584333
9,3.825773667,3.993559333,3.403766667,3.194867333
9,4.546669667,3.297294333,3.085126,4.111961
10,1.856046,2.269952667,1.688585812,2.303832158
10,2.324749,2.562182333,2.339865978,1.971366091
10,2.622869,2.860228333,2.44039792,2.10961105
10,2.282573333,1.995398333,,2.526839611
11,5.166761,5.199691333,3.436790333,4.41716
11,6.4852245,6.242048,5.256937667,5.149634
11,6.580554333,6.072305333,5.996669667,5.606479667
11,7.706536667,5.446511333,4.979896333,6.445336
12,4.274901333,4.405837,3.026586051,3.633386764
12,4.610200667,5.091533,4.096021068,4.652488439
12,4.855953,4.870134,4.728141323,4.711134652
12,6.005093333,4.494705667,4.259156919,5.487758807
13,1.635377,1.600618667,1.536650435,1.770554014
13,1.664894,1.683688333,1.806638483,1.647754657
13,1.978570667,1.858067,1.868538026,1.690160003
13,1.630566667,1.690240333,1.724599062,1.816795078
