Week,Control,StimBlue+,StimBlue+ + NaCl,NaCl
1,217.0086138,253.1652012,96.0718388,168.9146848
1,,160.1450538,238.5063486,171.141036
1,130.696132,197.3045242,180.4834708,204.031752
1,157.3530186,151.476105,187.7828848,153.2903474
2,172.1229303,187.0420127,126.5511468,132.0123513
2,,159.3006007,177.1500595,208.7777865
2,173.6979193,166.7525077,151.9634368,158.8522699
2,104.090406,189.5341287,223.0672597,132.5190512
3,161.621394,226.457199,127.9698767,99.69895933
3,,191.410955,91.288376,217.8515063
3,102.0035097,150.7333833,82.079104,138.1390737
3,131.8906987,152.9316507,137.2244847,69.44364433
4,165.7363233,232.2417753,42.06350685,39.860919
4,,161.233177,59.7318979,84.34696333
4,212.397044,57.500844,58.43869427,56.52050617
4,213.7839863,107.3970757,109.7613417,48.9870639
5,135.4122723,163.7544507,9.686944267,23.8722924
5,,104.598699,9.0592392,38.9340452
5,131.785548,,18.91566213,
5,147.9131547,43.404249,19.9606384,21.790864
6,42.42631767,149.5315247,72.3039552,60.26533053
6,,55.613271,35.69097373,85.6069228
6,83.92008967,66.982266,28.6011432,99.90364213
6,85.62030533,140.0157063,60.73316027,51.3022444
7,41.10241967,125.8584937,122.8728032,42.4339284
7,,69.075479,43.1224608,117.9515367
7,106.7118683,76.197047,93.46925453,187.609528
7,70.391888,142.275172,44.5924508,86.63823547
8,26.22228367,39.361139,62.11930787,52.59925387
8,,55.14524067,56.46048373,135.4528237
8,68.91944367,43.636579,198.732963,126.423334
8,55.59803167,150.9355217,56.8132824,142.9934008
9,153.555303,132.877528,93.99861633,91.274694
9,,164.9234773,52.29865233,172.510086
9,174.7991133,171.9150417,129.144643,129.8234153
9,122.6967443,208.2724203,211.385727,149.2714847
10,146.876999,215.3755417,134.9962633,62.3075804
10,,176.4615837,180.9990117,174.6911889
10,228.1439157,177.341685,209.831678,245.5709803
10,48.36607367,37.17978167,,107.0744223
11,61.28943367,77.70813233,219.1461283,247.0171913
11,,57.282988,209.8782753,256.039581
11,73.669788,95.85364267,143.629458,202.632741
11,51.181215,100.4025727,234.9486743,65.89405333
12,80.592584,89.18494633,202.5309872,204.8809672
12,,57.53338733,182.9249599,132.8593469
12,121.960752,131.532987,156.5927333,233.4840652
12,90.738177,150.9240013,230.5321652,103.1252456
13,53.21035267,72.86681633,95.22695307,68.70765424
13,,68.90882867,96.82426027,84.25651467
13,111.1895627,107.7060447,79.75785027,90.9638691
13,74.61742,72.40269967,118.3994551,65.2950232
,,,,
